Year,Month,Day,Value,data Completeness
2025,1,1,88,C
2025,1,2,87,C
2025,1,3,10,C
2025,1,4,50,C
2025,1,5,63,C
2025,1,6,4,C
2025,1,7,58,C
2025,1,8,54,C
2025,1,9,21,C
2025,1,10,15,C
2025,1,11,12,C
2025,1,12,7,C
2025,1,13,45,C
2025,1,14,89,C
2025,1,15,45,C
2025,1,16,1,C
2025,1,17,7,C
2025,1,18,20,C
2025,1,19,9,C
2025,1,20,6,C
2025,1,21,56,C
2025,1,22,86,C
2025,1,23,85,C
2025,1,24,49,C
2025,1,25,59,C
2025,1,26,82,C
2025,1,27,36,C
2025,1,28,30,C
2025,1,29,69,C
2025,1,30,51,C
2025,1,31,80,C
2025,2,1,88,C
2025,2,2,89,C
2025,2,3,85,C
2025,2,4,48,C
2025,2,5,54,C
2025,2,6,87,C
2025,2,7,88,C
2025,2,8,82,C
2025,2,9,32,C
2025,2,10,41,C
2025,2,11,78,C
2025,2,12,93,C
2025,2,13,86,C
2025,2,14,91,C
2025,2,15,56,C
2025,2,16,41,C
2025,2,17,42,C
2025,2,18,50,C
2025,2,19,86,C
2025,2,20,85,C
2025,2,21,83,C
2025,2,22,88,C
2025,2,23,89,C
2025,2,24,69,C
2025,2,25,88,C
2025,2,26,88,C
2025,2,27,53,C
2025,2,28,55,C
2025,3,1,83,C
2025,3,2,81,C
2025,3,3,85,C
2025,3,4,84,C
2025,3,5,94,C
2025,3,6,96,C
2025,3,7,93,C
2025,3,8,78,C
2025,3,9,68,C
2025,3,10,63,C
2025,3,11,86,C
2025,3,12,91,C
2025,3,13,86,C
2025,3,14,93,C
2025,3,15,88,C
2025,3,16,60,C
2025,3,17,85,C
2025,3,18,75,C
2025,3,19,19,C
2025,3,20,19,C
2025,3,21,1,C
2025,3,22,4,C
2025,3,23,3,C
2025,3,24,0,C
2025,3,25,14,C
2025,3,26,55,C
2025,3,27,86,C
2025,3,28,85,C
2025,3,29,93,C
2025,3,30,94,C
2025,3,31,92,C
2025,4,1,63,C
2025,4,2,13,C
2025,4,3,1,C
2025,4,4,65,C
2025,4,5,95,C
2025,4,6,83,C
2025,4,7,46,C
2025,4,8,76,C
2025,4,9,76,C
2025,4,10,85,C
2025,4,11,85,C
2025,4,12,88,C
2025,4,13,85,C
2025,4,14,53,C
2025,4,15,39,C
2025,4,16,48,C
2025,4,17,79,C
2025,4,18,96,C
2025,4,19,92,C
2025,4,20,80,C
2025,4,21,76,C
2025,4,22,84,C
2025,4,23,76,C
2025,4,24,80,C
2025,4,25,88,C
2025,4,26,92,C
2025,4,27,95,C
2025,4,28,81,C
2025,4,29,59,C
2025,4,30,66,C
2025,5,1,88,C
2025,5,2,51,C
2025,5,3,73,C
2025,5,4,81,C
2025,5,5,86,C
2025,5,6,88,C
2025,5,7,89,C
2025,5,8,84,C
2025,5,9,86,C
2025,5,10,80,C
2025,5,11,86,C
2025,5,12,41,C
2025,5,13,64,C
2025,5,14,61,C
2025,5,15,79,C
2025,5,16,83,C
2025,5,17,76,C
2025,5,18,86,C
2025,5,19,88,C
2025,5,20,85,C
2025,5,21,85,C
2025,5,22,82,C
2025,5,23,88,C
2025,5,24,83,C
2025,5,25,86,C
2025,5,26,88,C
2025,5,27,88,C
2025,5,28,90,C
2025,5,29,89,C
2025,5,30,88,C
2025,5,31,88,C
2025,6,1,83,C
2025,6,2,88,C
2025,6,3,88,C
2025,6,4,88,C
2025,6,5,88,C
2025,6,6,60,C
2025,6,7,48,C
2025,6,8,79,C
2025,6,9,74,C
2025,6,10,76,C
2025,6,11,88,C
2025,6,12,87,C
2025,6,13,88,C
2025,6,14,88,C
2025,6,15,88,C
2025,6,16,88,C
2025,6,17,88,C
2025,6,18,88,C
2025,6,19,88,C
2025,6,20,88,C
2025,6,21,88,C
2025,6,22,88,C
2025,6,23,84,C
2025,6,24,88,C
2025,6,25,71,C
2025,6,26,88,C
2025,6,27,87,C
2025,6,28,88,C
2025,6,29,86,C
2025,6,30,87,C
2025,7,1,86,C
2025,7,2,80,C
2025,7,3,82,C
2025,7,4,67,C
2025,7,5,80,C
2025,7,6,84,C
2025,7,7,70,C
2025,7,8,82,C
2025,7,9,84,C
2025,7,10,91,C
2025,7,11,88,C
2025,7,12,88,C
2025,7,13,88,C
2025,7,14,87,C
2025,7,15,85,C
2025,7,16,58,C
2025,7,17,74,C
2025,7,18,85,C
2025,7,19,81,C
2025,7,20,95,C
2025,7,21,92,C
2025,7,22,88,C
2025,7,23,88,C
2025,7,24,80,C
2025,7,25,62,C
2025,7,26,36,C
2025,7,27,52,C
2025,7,28,87,C
2025,7,29,91,C
2025,7,30,88,C
2025,7,31,88,C
2025,8,1,85,C
2025,8,2,95,C
2025,8,3,89,C
2025,8,4,93,C
2025,8,5,97,C
2025,8,6,90,C
2025,8,7,81,C
2025,8,8,45,C
2025,8,9,44,C
2025,8,10,68,C
2025,8,11,78,C
2025,8,12,82,C
2025,8,13,84,C
2025,8,14,95,C
2025,8,15,79,C
2025,8,16,74,C
2025,8,17,92,C
2025,8,18,91,C
2025,8,19,94,C
2025,8,20,86,C
2025,8,21,82,C
2025,8,22,82,C
2025,8,23,82,C
2025,8,24,88,C
2025,8,25,88,C
2025,8,26,65,C
2025,8,27,65,C
2025,8,28,85,C
2025,8,29,80,C
2025,8,30,85,C
2025,8,31,77,C
